timestamp_utc,os_family,thermal_pressure_level,thermal_pressure_code,cpu_die_temp_c,gpu_die_temp_c,cpu_total_active_pct,cpu_ecluster_active_pct,cpu_pcluster_active_pct,cpu_ecluster_freq_mhz,cpu_pcluster_freq_mhz,gpu_active_pct,gpu_freq_mhz,cpu_power_mw,gpu_power_mw,ane_power_mw,combined_power_mw,cpu_percent_psutil,loadavg_1m,loadavg_5m,loadavg_15m,ram_total_gb,ram_used_gb,ram_available_gb,ram_percent,mem_pressure_pct,swap_total_gb,swap_used_gb,swap_percent,mem_compressed_gb,battery_percent
2026-07-02T13:14:48.747815+00:00,linux,nominal,0,52.75,47.0,11.3,nan,nan,nan,nan,13.0,1470.0,nan,47050.0,nan,47050.0,11.3,2.56494140625,2.18798828125,2.03759765625,15.540573120117188,9.671653747558594,5.868919372558594,62.2,62.23485886140641,7.999996185302734,3.3821983337402344,42.3,2.556903839111328,nan
2026-07-02T13:14:53.790264+00:00,linux,nominal,0,56.875,46.0,15.5,nan,nan,nan,nan,34.0,930.0,37374.12981888984,38930.0,nan,76304.12981888984,15.5,2.359375,2.1513671875,2.0263671875,15.540573120117188,9.699722290039062,5.840850830078125,62.4,62.41547345176623,7.999996185302734,3.3821983337402344,42.3,2.556903839111328,nan
2026-07-02T13:14:58.829960+00:00,linux,nominal,0,54.0625,45.0,16.8,nan,nan,nan,nan,27.0,840.0,36925.504477836046,24410.0,nan,61335.504477836046,16.8,2.4111328125,2.16552734375,2.03173828125,15.540573120117188,9.766006469726562,5.774566650390625,62.8,62.841996844276736,7.999996185302734,3.3821983337402344,42.3,2.5568809509277344,nan
2026-07-02T13:15:03.875064+00:00,linux,nominal,0,63.5,45.0,13.3,nan,nan,nan,nan,26.0,825.0,32935.98154242348,23810.0,nan,56745.98154242348,13.3,2.2177734375,2.12939453125,2.0205078125,15.540573120117188,9.808097839355469,5.732475280761719,63.1,63.11284508972798,7.999996185302734,3.3821945190429688,42.3,2.5568809509277344,nan
2026-07-02T13:15:08.926067+00:00,linux,nominal,0,54.6875,46.0,11.4,nan,nan,nan,nan,13.0,480.0,32934.55107526705,23220.0,nan,56154.55107526705,11.4,2.2001953125,2.126953125,2.02001953125,15.540573120117188,9.786014556884766,5.754558563232422,63.0,62.9707442656463,7.999996185302734,3.3821945190429688,42.3,2.5568809509277344,nan
2026-07-02T13:15:13.976714+00:00,linux,nominal,0,54.25,46.0,13.5,nan,nan,nan,nan,16.0,660.0,34519.548261621254,23750.0,nan,58269.548261621254,13.5,2.5849609375,2.2080078125,2.046875,15.540573120117188,9.791038513183594,5.749534606933594,63.0,63.003072264491635,7.999996185302734,3.3820457458496094,42.3,2.5545921325683594,nan
2026-07-02T13:15:19.021382+00:00,linux,nominal,0,51.625,45.0,8.6,nan,nan,nan,nan,37.0,510.0,30665.745439575403,20830.0,nan,51495.7454395754,8.6,2.4580078125,2.1875,2.041015625,15.540573120117188,9.767097473144531,5.773475646972656,62.8,62.84901719937906,7.999996185302734,3.3820457458496094,42.3,2.5544090270996094,nan
2026-07-02T13:15:24.075017+00:00,linux,nominal,0,59.75,46.0,14.4,nan,nan,nan,nan,26.0,645.0,33779.575472418765,38110.0,nan,71889.57547241877,14.4,2.3408203125,2.16748046875,2.03515625,15.540573120117188,9.733062744140625,5.8075103759765625,62.6,62.63001157622191,7.999996185302734,3.3764801025390625,42.2,2.5542144775390625,nan
2026-07-02T13:15:29.126180+00:00,linux,nominal,0,65.4375,46.0,16.9,nan,nan,nan,nan,43.0,1470.0,35696.61473457985,50750.0,nan,86446.61473457985,16.9,2.2333984375,2.14794921875,2.029296875,15.540573120117188,9.759452819824219,5.781120300292969,62.8,62.79982562027047,7.999996185302734,3.3531646728515625,41.9,2.5377655029296875,nan
2026-07-02T13:15:34.160786+00:00,linux,nominal,0,57.4375,45.0,12.2,nan,nan,nan,nan,16.0,525.0,33137.55072215725,24260.0,nan,57397.55072215725,12.2,2.21435546875,2.14501953125,2.02880859375,15.540573120117188,9.626007080078125,5.9145660400390625,61.9,61.941133095132194,7.999996185302734,3.3529205322265625,41.9,2.537677764892578,nan
