timestamp_utc,os_family,thermal_pressure_level,thermal_pressure_code,cpu_die_temp_c,cpu_total_active_pct,cpu_ecluster_active_pct,cpu_pcluster_active_pct,cpu_ecluster_freq_mhz,cpu_pcluster_freq_mhz,gpu_active_pct,cpu_power_mw,gpu_power_mw,combined_power_mw,loadavg_1m,loadavg_5m,loadavg_15m,ram_used_gb,mem_pressure_pct,mem_compressed_gb
2026-07-03T07:05:03.445585+00:00,macos,,,40.87332534790039,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9501953125,3.10888671875,2.673828125,6.3701934814453125,73.93341064453125,4.789947509765625
2026-07-03T07:05:06.190667+00:00,macos,Nominal,0,40.98214340209961,26.471549999999997,51.3919,1.551199999999997,1026.66,1572.84,0.07470000000000532,149.202,0.199735,149.402,2.7939453125,3.07373046875,2.66357421875,6.2036285400390625,72.86176681518555,4.789276123046875
2026-07-03T07:05:09.084072+00:00,macos,Nominal,0,41.04129409790039,51.159949999999995,70.72749999999999,31.592399999999998,1786.14,3589.72,9.643900000000006,3356.9,65.0199,3423.32,2.7939453125,3.07373046875,2.66357421875,6.3858642578125,74.03841018676758,4.7916107177734375
2026-07-03T07:05:14.096918+00:00,macos,Nominal,0,40.52957534790039,54.5779,64.3806,44.775200000000005,1315.98,4215.0,4.378099999999996,2151.16,28.7593,2180.11,2.81005859375,3.072265625,2.66552734375,6.3327484130859375,73.67792129516602,4.78179931640625
2026-07-03T07:05:19.109887+00:00,macos,Nominal,0,40.36439895629883,41.88195,58.00350000000001,25.760400000000004,1247.78,3742.44,7.529200000000003,1580.49,62.0387,1642.53,2.8251953125,3.07080078125,2.66748046875,6.263916015625,73.14577102661133,4.77972412109375
2026-07-03T07:05:24.122503+00:00,macos,Nominal,0,40.234375,48.74875,61.64190000000001,35.855599999999995,1267.14,3351.29,17.838299999999997,1260.11,178.334,1438.44,2.6787109375,3.0361328125,2.6572265625,6.3175048828125,73.45800399780273,4.7747039794921875
2026-07-03T07:05:29.140537+00:00,macos,Nominal,0,40.17745590209961,42.5913,55.7044,29.478199999999998,1096.21,3678.63,12.555899999999998,1083.95,126.068,1210.02,2.6240234375,3.0185546875,2.6533203125,6.1819610595703125,72.60351181030273,4.77410888671875
2026-07-03T07:05:34.153213+00:00,macos,Nominal,0,40.06752395629883,42.93235,61.379099999999994,24.485599999999998,1324.95,3576.42,6.771099999999997,1080.19,57.6499,1137.84,2.57373046875,3.00146484375,2.6494140625,6.222320556640625,72.81303405761719,4.7701568603515625
2026-07-03T07:05:39.162264+00:00,macos,Nominal,0,39.94586944580078,49.34435,65.1047,33.584,1421.43,3507.85,5.906199999999995,1454.05,31.887,1485.93,2.52734375,2.984375,2.6455078125,6.308990478515625,73.3734130859375,4.769073486328125
2026-07-03T07:05:44.168110+00:00,macos,Nominal,0,40.21372604370117,39.73955,55.5952,23.883900000000004,1243.9,3721.97,1.7529000000000017,994.256,8.77754,1003.03,2.56494140625,2.984375,2.6474609375,6.199432373046875,72.70231246948242,4.76885986328125
2026-07-03T07:05:49.185468+00:00,macos,Nominal,0,39.97265625,54.825,66.8722,42.7778,1441.32,3544.35,6.522499999999997,1895.67,44.7074,1940.38,2.6796875,3.0009765625,2.6552734375,6.3931427001953125,73.88248443603516,4.768524169921875
2026-07-03T07:05:54.194854+00:00,macos,Nominal,0,39.75836944580078,46.378,59.704299999999996,33.0517,1289.25,3282.88,10.917299999999997,1124.98,102.253,1227.24,2.705078125,3.00048828125,2.6572265625,6.39007568359375,73.8591194152832,4.7682037353515625
2026-07-03T07:05:59.205605+00:00,macos,Nominal,0,39.43973159790039,45.7224,61.0533,30.391500000000004,1318.22,3397.15,11.234900000000003,1082.68,128.078,1210.76,2.568359375,2.966796875,2.6474609375,6.2461090087890625,72.96676635742188,4.76776123046875
